BRK-A	BERKSHIRE HATHAWAY INC-CL A
BLK	BLACKROCK INC
CME	CME GROUP INC
USB	US BANCORP
BX	BLACKSTONE GROUP INC/THE
NTRS	NORTHERN TRUST CORP
KKR	KKR & CO INC
L	LOEWS CORP
PRU	PRUDENTIAL FINANCIAL INC
TRV	TRAVELERS COS INC/THE
BEN	FRANKLIN RESOURCES INC
STT	STATE STREET CORP
PGR	PROGRESSIVE CORP
ANAT	AMERICAN NATIONAL GROUP INC
RGA	REINSURANCE GROUP OF AMERICA
SCHW	SCHWAB (CHARLES) CORP
BK	BANK OF NEW YORK MELLON CORP
GL	GLOBE LIFE INC
FRC	FIRST REPUBLIC BANK/CA
AMP	AMERIPRISE FINANCIAL INC
MET	METLIFE INC
MTB	M & T BANK CORP
LNC	LINCOLN NATIONAL CORP
APO	APOLLO GLOBAL MANAGEMENT INC
MMC	MARSH & MCLENNAN COS
PNC	PNC FINANCIAL SERVICES GROUP
BAC	BANK OF AMERICA CORP
TFC	TRUIST FINANCIAL CORP
CBOE	CBOE GLOBAL MARKETS INC
CBSH	COMMERCE BANCSHARES INC
PRI	PRIMERICA INC
JPM	JPMORGAN CHASE & CO
AON	AON PLC-CLASS A
UMBF	UMB FINANCIAL CORP
CFR	CULLEN/FROST BANKERS INC
PFG	PRINCIPAL FINANCIAL GROUP
CNA	CNA FINANCIAL CORP
AFL	AFLAC INC
ALL	ALLSTATE CORP
Y	ALLEGHANY CORP
AFG	AMERICAN FINANCIAL GROUP INC
RF	REGIONS FINANCIAL CORP
HIG	HARTFORD FINANCIAL SVCS GRP
FITB	FIFTH THIRD BANCORP
CG	CARLYLE GROUP INC/THE
ZION	ZIONS BANCORP NA
ICE	INTERCONTINENTAL EXCHANGE IN
ORI	OLD REPUBLIC INTL CORP
IVZ	INVESCO LTD
WRB	WR BERKLEY CORP
WFC	WELLS FARGO & CO
AMG	AFFILIATED MANAGERS GROUP
AIG	AMERICAN INTERNATIONAL GROUP
CMA	COMERICA INC
KEY	KEYCORP
HBAN	HUNTINGTON BANCSHARES INC
BOKF	BOK FINANCIAL CORPORATION
MS	MORGAN STANLEY
RJF	RAYMOND JAMES FINANCIAL INC
AXP	AMERICAN EXPRESS CO
VOYA	VOYA FINANCIAL INC
BHF	BRIGHTHOUSE FINANCIAL INC
RLI	RLI CORP
CINF	CINCINNATI FINANCIAL CORP
PBCT	PEOPLE'S UNITED FINANCIAL
GS	GOLDMAN SACHS GROUP INC
C	CITIGROUP INC
EQH	EQUITABLE HOLDINGS INC
ARES	ARES MANAGEMENT CORP - A
CFG	CITIZENS FINANCIAL GROUP
AL	AIR LEASE CORP
AIZ	ASSURANT INC
ASB	ASSOCIATED BANC-CORP
BXS	BANCORPSOUTH BANK
SIGI	SELECTIVE INSURANCE GROUP
UNM	UNUM GROUP
SIVB	SVB FINANCIAL GROUP
HWC	HANCOCK WHITNEY CORP
FCNCA	FIRST CITIZENS BCSHS -CL A
EWBC	EAST WEST BANCORP INC
AJG	ARTHUR J GALLAGHER & CO
GATX	GATX CORP
WBS	WEBSTER FINANCIAL CORP
VLY	VALLEY NATIONAL BANCORP
TRMK	TRUSTMARK CORP
NDAQ	NASDAQ INC
JEF	JEFFERIES FINANCIAL GROUP IN
HMN	HORACE MANN EDUCATORS
KMPR	KEMPER CORP
COF	CAPITAL ONE FINANCIAL CORP
MKL	MARKEL CORP
THG	HANOVER INSURANCE GROUP INC/
FNF	FIDELITY NATIONAL FINANCIAL
CNO	CNO FINANCIAL GROUP INC
FCF	FIRST COMMONWEALTH FINL CORP
MAIN	MAIN STREET CAPITAL CORP
GBDC	GOLUB CAPITAL BDC INC
ISBC	INVESTORS BANCORP INC
FAF	FIRST AMERICAN FINANCIAL
PSEC	PROSPECT CAPITAL CORP
AEL	AMERICAN EQUITY INVT LIFE HL
TSLX	SIXTH STREET SPECIALTY LENDI
BRO	BROWN & BROWN INC
WDR	WADDELL & REED FINANCIAL-A
BGCP	BGC PARTNERS INC-CL A
NNI	NELNET INC-CL A
ARCC	ARES CAPITAL CORP
DFS	DISCOVER FINANCIAL SERVICES
UMPQ	UMPQUA HOLDINGS CORP
FNB	FNB CORP
SF	STIFEL FINANCIAL CORP
FMBI	FIRST MIDWEST BANCORP INC/IL
TCF	TCF FINANCIAL CORP
PRA	PROASSURANCE CORP
BSIG	BRIGHTSPHERE INVESTMENT GROU
ORCC	OWL ROCK CAPITAL CORP
SNV	SYNOVUS FINANCIAL CORP
ALLY	ALLY FINANCIAL INC
SYF	SYNCHRONY FINANCIAL
